"产品","slug","层级","总证据图/项","真实UI数量或范围","营销/输出/上下文","证据等级","主要布局","核心流程","已确认关键能力","主要来源","明确证据缺口","本地联系表"
"字节跳动漫剧创作工具（内测）","bytedance-comic-studio","L1 全流程","5","4完整UI+1局部","0","A-","暗色；左全局栏；资产页左清单/中主图/右属性；单集左画面/中文本/右资产/底镜头条","上传剧本→规划→资产→分集分镜→生成/导出","长剧本入口、资产变体、镜头编辑、底部镜头条、模式/首尾帧局部控件","https://www.aitntnews.com/newDetail.html?newId=28337","未证实音频多轨、协作、版本恢复、完整模型自由选择","docs/research/assets/competitors/bytedance-comic-studio/contact-sheet.jpg"
"小云雀短剧 Agent","xiaoyunque","L1 全流程","36唯一项","约16 UI/局部","约20 成片/上下文","B+","白色强向导；角色卡画廊；单集左资产/中文本/右预览/底镜头卡；低频配置弹窗","上传或AI写剧本→三步向导→全局风格→角色场景→分集→逐镜→合并导出","DOCX、分集、画风/比例、角色编辑、镜头计数、逐镜重抽/删除、Seedance 选择、合并/导出","https://www.aitntnews.com/newDetail.html?newId=23268","专业多轨、跨集复杂依赖、协作/审片、广泛模型路由未证实","docs/research/assets/competitors/xiaoyunque/contact-sheet.jpg"
"纳逗 Pro","nadou-pro","L1 全流程+L2导演台","20","20","0","A","暗色自由画布；独立四区剪辑器；3D台左层级/中视口/右属性/底关键帧","小说/剧本→拆分镜→主体资产→节点画布→制片→3D预演→多轨剪辑→分享下载","节点菜单、费用预估、主体库、三视图/九宫格、多角度、分镜分组、重生成/参数恢复、3D关键帧、多轨音视频","https://nadoupro.iqiyi.com/docs/getting-started","协作权限和超长多集规模性能仍需实际压测","docs/research/assets/competitors/nadou-pro/contact-sheet.jpg"
"天工短剧工作台 / SkyProduction","tiangong-drama","L1 全流程","2","2","0","A-","暗色；顶部项目/资产/Agent/分镜/视频/媒资；资产人设/场景/道具三列；模型弹层+底参数栏","项目→剧本→整体资产→分镜脚本→视频镜头→预览/合并下载","多Agent、三类资产、Vidu/可灵/SkyReels模型选择、1080P/时长、批量生成","https://www.skyproduction.cn/ ; https://www.csdn.net/article/2026-03-31/159696519","单镜历史、首尾帧、音频、时间线、团队审片、异常状态截图缺失","docs/research/assets/competitors/tiangong-drama/contact-sheet.jpg"
"WorkRally","workrally","L1/L2 团队画布","15","约7","约8 营销/成片","A能力+B+截图","暗色无限画布；右Agent/Skill；脚本资产分镜节点共存；项目/媒体资产树","小说→剧本/世界观/角色场景解析→资产确认→画布→Skill生成→镜头重生→成片","Yjs实时协作、8类节点、资产多视图/状态、拖动排序、右键重生成、Skill、CLI/MCP","https://github.com/Tencent/workrally ; https://www.sohu.com/a/1048668744_116157 ; https://workrally.qq.com/","专业音频/多轨剪辑、跨集审核流程缺少清晰UI","docs/research/assets/competitors/workrally/contact-sheet.jpg"
"WorkSolo / OnSolo","worksolo-onsolo","L1/L2 个人创作","16","约8","约8 营销/内容/成片","B+","暗色；Story/FM Game/Canvas三入口；剧本+右Agent；专业编辑左素材/中预览/底时间线","故事或互动或画布入口→剧本/关系→素材与镜头→时间线→播放/导出","模式化入口、Agent双栏、关系图、节点画布、专业时间线","https://www.woshipm.com/ai/6446956.html","分集批量、角色三视/状态、首尾帧、配音与跨模式版本互通未证实","docs/research/assets/competitors/worksolo-onsolo/contact-sheet.jpg"
"Seko / Seko 2.0","seko","L1 全流程+L2画布","11","11","0","B+截图+A-发布","暗色；阶段页与无限画布混合；故事板卡；成片中央竖屏预览/底镜头条/右导出","灵感/脚本→解析→主体→故事板/分镜→图片视频→对口型/裁剪→导出","角色多视图、多集共享主体、节点画布、多镜头/多格、21:9/九宫格/720全景、对口型","https://www.uisdc.com/hangye/seko ; https://www.sensetime.com/kr/news-detail/51170774?categoryId=51172 ; https://seko.gongke.net/","不同版本IA差异；专业多轨、版本对比、审片协作证据不足","docs/research/assets/competitors/seko/contact-sheet.jpg"
"LibTV","libtv","L1/L2 多模态画布","39","约22","约17 教程/成片/品牌","B+","暗色无限画布；左窄工具栏；中央节点；浮动新增菜单；节点内参数/预览；角落缩放","脚本/文本节点→图像/视频/音频节点→参考与变体→连线编排→批处理/输出","文本/图像/视频/音频/脚本/上传/图库节点、模型参数、局部变体、资产/项目画布","https://www.aitntnews.com/newDetail.html?newId=23267 ; https://www.liblib.tv/wappro?sourceid=040004","分集结构、画布治理、专业音频时间线、团队协作与3D台本轮证据不足","docs/research/assets/competitors/libtv/contact-sheet.jpg"
"Dramart / 火山剧创","dramart","L1 企业制片","4","3 UI嵌入宣传版式","1 架构图","A-","浅色/淡紫；结构化表单+预览；分镜页左实体/脚本、中画面、底镜头条","剧本上传→解析→角色场景道具→分镜→视频→编辑导出","脚本理解Agent、素材Agent、分镜Agent、策略审片Agent、主体复用、镜头策略、团队/历史文字确证","https://developer.volcengine.com/articles/7622325633040793641","缺原始全屏UI、音频/时间线、逐镜版本与异常处理截图","docs/research/assets/competitors/dramart/contact-sheet.jpg"
"万镜一刻 / WonderClip","wonderclip","L1/L2 云工作流","6","1","5 营销/案例/二维码","B+截图+A能力","暗色无限画布；角色/道具节点连生成节点；卡片/右下参数","素材/故事板→画布节点→图像/视频生成→云端工作流/编辑","无限画布、Agent、故事板、多模型/API（官方文字）；节点引用（UI）","https://www.geekpark.net/news/367515 ; https://university.aliyun.com/action/sdu-ai ; https://www.wonderclip.ai/#/home","分集、角色状态、音频多轨、审片协作、局部历史缺少公开UI","docs/research/assets/competitors/wonderclip/contact-sheet.jpg"
